"Class","Fingerprint","PostId","TimeUp","SWidth","SHeight","ScreenX","ScreenXUp","ScreenY","ScreenYUp","Force","ForceUp","RadiusX","RadiusY"
"m","1557826955443839874",1169390,256,360,740,232,234,598,495,1,0,0.25,0.25
"m","98335e9192e31111a8ba0cf2782eddc5",1169490,111,320,568,217,217,1855,1855,0,0,38.290771484375,38.290771484375
"m","93646a72e6b2080d19a211e210265e16",1169490,149,360,640,210,254,537,418,1,0,0,0
"m","1557826955443839874",1169390,141,360,740,225,223,609,493,1,0,0.25,0.25
"m","98335e9192e31111a8ba0cf2782eddc5",1169490,195,320,568,189,230,1800,1779,0,0,38.290771484375,38.290771484375
"m","93646a72e6b2080d19a211e210265e16",1169490,2967,360,640,212,218,461,514,1,0,0,0
"m","1557826955443839874",1169390,354,360,740,250,238,628,534,1,0,0.25,0.25
"m","98335e9192e31111a8ba0cf2782eddc5",1169490,130,320,568,316,316,2867,2867,0,0,25.5242919921875,25.5242919921875
"m","93646a72e6b2080d19a211e210265e16",1182238,350,360,640,212,244,555,483,1,0,0,0
"m","1557826955443839874",1169390,170,360,740,227,221,612,504,1,0,0.25,0.25
"m","98335e9192e31111a8ba0cf2782eddc5",1169490,195,320,568,189,230,1800,1779,0,0,38.290771484375,38.290771484375
"m","93646a72e6b2080d19a211e210265e16",1169490,387,360,640,229,260,548,440,1,0,0,0
"m","1557826955443839874",1182174,129,360,740,260,232,459,543,1,0,0.25,0.25
"m","98335e9192e31111a8ba0cf2782eddc5",1169490,113,320,568,206,231,2010,1987,0,0,38.290771484375,38.290771484375
"m","93646a72e6b2080d19a211e210265e16",1169490,1064,360,640,217,205,548,571,1,0,0,0
"m","1557826955443839874",1169390,192,360,740,227,223,613,499,1,0,0.25,0.25
"m","c6a8d31efa3400852d685dbeb7395e49",1169490,110,375,667,266,260,353,441,0,0,25.6475830078125,25.6475830078125
"m","93646a72e6b2080d19a211e210265e16",1169490,452,360,640,230,278,527,397,1,0,0,0
"m","1557826955443839874",1169390,144,360,740,197,208,536,449,1,0,0.25,0.25
"m","c6a8d31efa3400852d685dbeb7395e49",1169490,110,375,667,266,260,353,441,0,0,25.6475830078125,25.6475830078125
"m","93646a72e6b2080d19a211e210265e16",1169490,312,360,640,243,271,578,456,1,0,0,0
"m","1557826955443839874",1169390,340,360,740,199,199,584,471,1,0,0.25,0.25
"m","c6a8d31efa3400852d685dbeb7395e49",1169490,120,375,667,15,15,84,84,0,0,25.6475830078125,25.6475830078125
"m","93646a72e6b2080d19a211e210265e16",1169490,161,360,640,237,248,540,463,1,0,0,0
"m","1557826955443839874",1169390,209,360,740,196,194,546,461,1,0,0.25,0.25
"m","c6a8d31efa3400852d685dbeb7395e49",1169490,108,375,667,290,290,340,340,0,0.02,25.6475830078125,25.6475830078125
"m","93646a72e6b2080d19a211e210265e16",1169490,159,360,640,219,238,542,458,1,0,0,0
"m","1557826955443839874",1169390,226,360,740,202,217,555,438,1,0,0.5,0.5
"m","c6a8d31efa3400852d685dbeb7395e49",1169490,191,375,667,315,317,430,403,0,0.012499999999999999,25.6475830078125,25.6475830078125
"m","93646a72e6b2080d19a211e210265e16",1169490,337,360,640,211,268,543,404,1,0,0,0
"m","1557826955443839874",1169390,215,360,740,213,220,546,453,1,0,0.25,0.25
"m","c6a8d31efa3400852d685dbeb7395e49",1169490,108,375,667,290,290,340,340,0,0.02,25.6475830078125,25.6475830078125
"m","93646a72e6b2080d19a211e210265e16",1169490,317,360,640,212,232,557,468,1,0,0,0
"m","1557826955443839874",1169390,191,360,740,196,193,569,496,1,0,0.25,0.25
"m","c6a8d31efa3400852d685dbeb7395e49",1169490,56,375,667,316,316,488,488,0,0,25.6475830078125,25.6475830078125
"m","93646a72e6b2080d19a211e210265e16",1169490,193,360,640,215,256,551,428,1,0,0,0
"m","1557826955443839874",1169390,123,360,740,324,324,618,615,1,0,0.25,0.25
"m","c6a8d31efa3400852d685dbeb7395e49",1169490,191,375,667,315,317,430,403,0,0.012499999999999999,25.6475830078125,25.6475830078125
"m","93646a72e6b2080d19a211e210265e16",1169490,184,360,640,216,255,542,419,1,0,0,0
"m","1557826955443839874",1169390,235,360,740,232,220,624,536,1,0,0.25,0.25
"m","c6a8d31efa3400852d685dbeb7395e49",1169490,121,375,667,15,15,84,84,0,0,25.6475830078125,25.6475830078125
"m","93646a72e6b2080d19a211e210265e16",1169490,621,360,640,215,277,545,413,1,0,0,0
"m","1557826955443839874",1169390,237,360,740,202,213,597,434,1,0,0.25,0.25
"m","c6a8d31efa3400852d685dbeb7395e49",1169490,56,375,667,316,316,488,488,0,0,25.6475830078125,25.6475830078125
"m","93646a72e6b2080d19a211e210265e16",1182238,679,360,640,205,249,551,443,1,0,0,0
"m","1557826955443839874",1169390,164,360,740,278,260,613,501,1,0,0.25,0.25
"m","c6a8d31efa3400852d685dbeb7395e49",1169490,71,375,667,311,285,1255,1344,0,0.02,25.6475830078125,25.6475830078125
"m","93646a72e6b2080d19a211e210265e16",1182238,2222,360,640,223,267,547,444,1,0,0,0
"m","1557826955443839874",1169390,168,360,740,237,232,624,525,1,0,0.25,0.25
"m","c6a8d31efa3400852d685dbeb7395e49",1169490,71,375,667,311,285,1255,1344,0,0.02,25.6475830078125,25.6475830078125
"m","93646a72e6b2080d19a211e210265e16",1169490,192,360,640,324,324,578,578,1,0,0,0
"m","e4871f665fbd35516297cf3a2a251516",1169490,246,360,740,98,50,495,369,1,0,0.738525390625,0.738525390625
"m","fc56601fd2b8208d87e83d9e27b676c2",1182111,275,320,568,705,648,524,105,1,0,11.5,11.5
"m","93646a72e6b2080d19a211e210265e16",1169490,2788,360,640,211,246,575,460,1,0,0,0
"m","e4871f665fbd35516297cf3a2a251516",1169490,244,360,740,54,37,489,366,1,0,0.604248046875,0.604248046875
"m","fc56601fd2b8208d87e83d9e27b676c2",1182111,912,320,568,704,708,450,279,1,0,11.5,11.5
"m","93646a72e6b2080d19a211e210265e16",1182238,562,360,640,244,201,410,596,1,0,0,0
"m","e4871f665fbd35516297cf3a2a251516",1169490,243,360,740,54,26,494,343,1,0,0.537109375,0.537109375
"m","fc56601fd2b8208d87e83d9e27b676c2",1182111,255,320,568,709,690,464,219,1,0,11.5,11.5
"m","93646a72e6b2080d19a211e210265e16",1182238,402,360,640,204,271,551,407,1,0,0,0
"m","e4871f665fbd35516297cf3a2a251516",1169490,178,360,740,70,28,477,330,1,0,0.604248046875,0.604248046875
"m","fc56601fd2b8208d87e83d9e27b676c2",1169490,168,320,568,748,665,591,301,1,0,11.5,11.5
"m","93646a72e6b2080d19a211e210265e16",1182238,159,360,640,215,232,551,477,1,0,0,0
"m","e4871f665fbd35516297cf3a2a251516",1169490,111,360,740,24,57,327,529,1,0,0.738525390625,0.738525390625
"m","fc56601fd2b8208d87e83d9e27b676c2",1169490,687,320,568,782,711,638,291,1,0,11.5,11.5
"m","93646a72e6b2080d19a211e210265e16",1182238,5315,360,640,236,245,419,462,1,0,0,0
"m","e4871f665fbd35516297cf3a2a251516",1169490,206,360,740,50,21,491,334,1,0,0.738525390625,0.738525390625
"m","fc56601fd2b8208d87e83d9e27b676c2",1182189,400,320,568,703,706,518,157,1,0,11.5,11.5
"m","93646a72e6b2080d19a211e210265e16",1182238,138,360,640,233,194,416,521,1,0,0,0
"m","e4871f665fbd35516297cf3a2a251516",1169490,212,360,740,55,22,499,331,1,0,0.537109375,0.537109375
"m","93646a72e6b2080d19a211e210265e16",1182238,709,360,640,215,271,550,414,1,0,0,0
"m","e4871f665fbd35516297cf3a2a251516",1169490,264,360,740,64,50,506,375,1,0,0.537109375,0.537109375
"m","93646a72e6b2080d19a211e210265e16",1182238,2020,360,640,210,243,479,442,1,0,0,0
"m","e4871f665fbd35516297cf3a2a251516",1169490,35,360,740,33,62,336,518,1,0,0.872802734375,0.872802734375
"m","93646a72e6b2080d19a211e210265e16",1182238,424,360,640,291,198,372,599,1,0,0,0
"m","e4871f665fbd35516297cf3a2a251516",1169490,231,360,740,80,33,503,336,1,0,0.738525390625,0.738525390625
"m","93646a72e6b2080d19a211e210265e16",1182238,663,360,640,219,272,540,431,1,0,0,0
"m","e4871f665fbd35516297cf3a2a251516",1169490,560,360,740,20,31,329,358,1,0,0.604248046875,0.604248046875
"m","93646a72e6b2080d19a211e210265e16",1182238,1332,360,640,220,265,541,431,1,0,0,0
"m","93646a72e6b2080d19a211e210265e16",1182238,278,360,640,223,271,548,432,1,0,0,0

